ticket_key,email_count_per_ticket,avg_sentiment,sentiment_variance,sentiment_trend,priority_numeric,subject_length,unique_senders,description_length,is_stalled,has_enough_emails,email_volume_per_ticket,priority,status,project.key,issuetype.name,type_Bug,type_Improvement,type_New Feature,type_Sub-task,type_Task,type_Test,type_Wish,proj_HADOOP,proj_HDFS,proj_MAPREDUCE,proj_YARN
HADOOP-17843,3,0.9596,0.03100661219804575,-0.03165000000000007,3,6.0,2,15,0,1,3,Major,In Progress,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-17849,17,0.5148588235294117,0.46748040207427877,0.35522222222222233,3,4.0,7,37,0,1,17,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-17857,9,0.8755222222222222,0.08489850967151574,-0.012514999999999832,3,8.0,3,305,0,1,9,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-17873,7,0.8982285714285715,0.07286733868901103,-0.05490000000000006,3,8.0,3,75,1,1,7,Major,Reopened,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-17891,13,0.8118461538461539,0.25691376833282864,-0.13056428571428558,3,4.923076923076923,10,114,0,1,13,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-17892,1,0.8689,0.0,0.0,3,6.0,1,16,0,0,1,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-17895,1,0.8205,0.0,0.0,3,8.0,1,72,1,0,1,Major,Open,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-17936,7,0.8982285714285715,0.07286733868901103,-0.05490000000000006,3,8.0,3,19,0,1,7,Major,Resolved,HADOOP,Test,0,0,0,0,0,1,0,1,0,0,0
HADOOP-17952,3,0.2623666666666667,0.8568730438830091,1.4776,3,5.333333333333333,3,0,0,1,3,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-17975,9,0.8755222222222222,0.08489850967151574,-0.012514999999999832,3,8.0,3,497,0,1,9,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-17985,1,-0.25,0.0,0.0,4,5.0,1,172,0,0,1,Critical,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-17988,7,0.8982285714285715,0.07286733868901103,-0.05490000000000006,4,8.0,3,172,0,1,7,Critical,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18003,6,0.11423333333333334,0.4478561361270678,-0.4510666666666667,2,6.0,3,49,0,1,6,Minor,Resolved,HADOOP,New Feature,0,0,1,0,0,0,0,1,0,0,0
HADOOP-18007,1,0.7146,0.0,0.0,3,8.0,1,266,1,0,1,Major,Open,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18014,6,0.11423333333333334,0.4478561361270678,-0.4510666666666667,3,6.0,3,0,0,1,6,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18033,5,0.5314,0.49278227443770745,-0.5866666666666667,3,6.6,4,31,0,1,5,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18045,10,0.6707,0.41343263054577595,0.18352000000000013,3,5.0,5,27,0,1,10,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18066,7,0.8982285714285715,0.07286733868901103,-0.05490000000000006,3,8.0,3,137,0,1,7,Major,Resolved,HADOOP,Wish,0,0,0,0,0,0,1,1,0,0,0
HADOOP-18069,2,0.14179999999999998,0.7476947104266554,1.0574,3,10.0,2,54,0,1,2,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18073,12,0.5871833333333333,0.38371912510285044,-0.00550000000000006,3,6.583333333333333,6,67,0,1,12,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18074,1,0.3679,0.0,0.0,3,6.0,1,163,0,0,1,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18082,3,-0.4261,0.6978280805470642,0.5547000000000001,2,5.666666666666667,3,81,1,1,3,Minor,Reopened,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18088,47,0.5036276595744681,0.5030741395366,-0.08675108695652173,3,6.617021276595745,14,23,0,1,47,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18091,2,-0.4423,0.589019948728394,0.833,3,8.0,2,150,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18094,13,0.5483923076923077,0.2950576849294006,-0.14874047619047626,5,7.923076923076923,6,69,0,1,13,Blocker,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18096,13,0.6275538461538462,0.4392778346623479,-0.11092619047619046,4,7.923076923076923,3,36,0,1,13,Critical,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18103,3,0.32233333333333336,0.3608286620174918,-0.38695,3,10.333333333333334,2,36,0,1,3,Major,Resolved,HADOOP,New Feature,0,0,1,0,0,0,0,1,0,0,0
HADOOP-18125,3,-0.11816666666666666,0.7709333455839963,-1.30225,3,4.0,2,201,0,1,3,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18133,4,0.6760999999999999,0.062255120271347913,-0.04249999999999998,4,4.75,2,21,0,1,4,Critical,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18134,6,0.7677833333333334,0.1511422828551517,-0.047900000000000054,4,6.833333333333333,3,39,0,1,6,Critical,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18135,4,0.6760999999999999,0.062255120271347913,-0.04249999999999998,3,4.75,2,32,0,1,4,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18143,3,-0.4261,0.6978280805470642,0.5547000000000001,4,5.666666666666667,3,69,0,1,3,Critical,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18159,4,0.3143,0.36122527597055,0.19990000000000002,3,6.25,1,318,0,1,4,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18160,1,-0.7003,0.0,0.0,3,8.0,1,82,0,0,1,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18168,1,0.4939,0.0,0.0,2,7.0,1,68,0,0,1,Minor,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18178,2,0.6184000000000001,0.49073210614346396,0.6940000000000001,3,4.0,2,2,0,1,2,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18197,25,0.603604,0.4392524639278267,-0.273053205128205,3,7.52,10,40,0,1,25,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18198,3,0.2098,0.40807117026322753,0.3534,3,9.0,1,129,0,1,3,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18206,2,0.053549999999999986,1.2819138836130919,1.8129,3,7.0,2,4,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18207,4,0.257725,0.837862579722952,0.40835000000000005,3,6.75,3,53,1,1,4,Major,Reopened,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18209,3,0.9596,0.03100661219804575,-0.03165000000000007,3,6.0,2,39,0,1,3,Major,Patch Available,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18223,5,0.32174,0.4895092777466021,-0.3072666666666667,2,8.0,5,255,1,1,5,Minor,Open,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18241,1,0.8316,0.0,0.0,3,12.0,1,1,1,0,1,Major,Open,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18282,2,0.0,0.0,0.0,3,7.5,1,13,0,1,2,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18303,2,0.0828,0.40319228663256945,0.5702,4,5.5,1,42,0,1,2,Critical,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18305,2,0.0828,0.40319228663256945,0.5702,3,5.5,1,18,0,1,2,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18307,2,0.0828,0.40319228663256945,0.5702,3,5.5,1,27,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18312,3,0.9596,0.03100661219804575,-0.03165000000000007,3,6.0,2,14,1,1,3,Major,Open,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18320,12,0.23197500000000001,0.512700022385942,-0.3058833333333333,2,7.0,8,13,0,1,12,Minor,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18324,2,0.7646999999999999,0.20647518010647187,-0.2919999999999999,4,6.0,1,45,0,1,2,Critical,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
